id_doc,Text's title,Author,original_name,Normalized name,ID wikidata,identifiers,coordinate location,Longitude,Latitude,Type of place,printer,publication place,date
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Tucuman","Tucumán",San Miguel de Tucumán,Q44255,"-26.816666666667,-65.216666666667",-26.816666666667,-65.216666666667,"Tucumán",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Jujuy","Jujuy",San Salvador de Jujuy,Q44217,"-24.185555555556,-65.299444444444",-24.185555555556,-65.299444444444,"Jujuy",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Nueva-York","Nueva York",New York City,Q60,"40.7,-74",40.7,-74,"Nueva York",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Linda","Linda","Linda",,,,,"Linda",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Nueva Rica","Nueva Rica","Nueva Rica",,,,,"Nueva Rica",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"China","China",People's Republic of China,Q148,"35.844722222222224,103.45194444444445",35.844722222222224,103.45194444444445,"China",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Tapalqué","Tapalqué",Tapalqué train station,Q5845057,"-36.3453,-60.0408",-36.3453,-60.0408,"Tapalqué",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Tapalqué","Tapalqué",Tapalqué train station,Q5845057,"-36.3453,-60.0408",-36.3453,-60.0408,"Tapalqué",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Florencia","Florencia",Florence,Q2044,"43.771388888889,11.254166666667",43.771388888889,11.254166666667,"Florencia",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Montevideo","Montevideo",Montevideo,Q1335,"-34.86666666666667,-56.166666666666664",-34.86666666666667,-56.166666666666664,"Montevideo",Igon Hermanos,Buenos Aires,1879
Aquiles_Sioen_Buenos_Aires,Buenos Aires en el año 2080,Aquiles Sioen,"Lahore","Lahore",Lahore,Q11739,"31.549722222222,74.343611111111",31.549722222222,74.343611111111,"Lahore",Igon Hermanos,Buenos Aires,1879
